Codificació;denominaci;Departament;membre;c_rrec_en_l_rgan_de_govern_superior;c_rrec_o_lloc_de_treball;SAC.carrec;SAC.codi_d_informaci;rgan_que_designa;SAC;nom_1;Observacions
Fundació Institut d'Investigació i Innovació Parc Taulí (I3PT)El/la Director/a General del consorci Corporació Sanitària Parc TauliDirector/a general del Consorci Corporació Sanitària Parc Taulí;Fundació Institut d'Investigació i Innovació Parc Taulí (I3PT);SLT - Departament de Salut;El/la Director/a General del consorci Corporació Sanitària Parc Tauli;Vicepresident/a primer;Director/a general del Consorci Corporació Sanitària Parc Taulí;#N/D;3346;;#N/D;Anna Aran Solé;
Fundació Mediterrània, Fira d'Espectacles d'Arrel TradicionalMembre designat per la Generalitat a través del Departament de CulturaDirector de l'Institut Ramon Llull;Fundació Mediterrània, Fira d'Espectacles d'Arrel Tradicional;CLT - Departament de Cultura;Membre designat per la Generalitat a través del Departament de Cultura;Membre;Director de l'Institut Ramon Llull;#N/D;12863;Conseller/a de Cultura;#N/D;Pere Almeda Samaranch;
Fundació Institut Català de Nanociència i Nanotecnologia (ICN2)Patró designat pel titular del departament de la Generalitat competent en matèria de recercaDirector de la Fundació Institució dels Centres de Recerca de Catalunya;Fundació Institut Català de Nanociència i Nanotecnologia (ICN2);REU - Departament de Recerca i Universitats;Patró designat pel titular del departament de la Generalitat competent en matèria de recerca;Vocal;Director de la Fundació Institució dels Centres de Recerca de Catalunya;#N/D;18791;Conseller/a competent en recerca;#N/D;Lluís Rovira Pato;
Institut Català de les Empreses CulturalsVocals en representació del Departament competent en matèria de culturaDirector del Consorci de l'Institut Ramon Llull;Institut Català de les Empreses Culturals;CLT - Departament de Cultura;Vocals en representació del Departament competent en matèria de cultura;Vocal;Director del Consorci de l'Institut Ramon Llull;#N/D;12863;Conseller/a de Cultura;#N/D;Pere Almeda Samaranch;
Fundació Institut d’Investigació Biomèdica de Girona Dr. Josep Trueta (IdIBGI)Membre designat per la persona titular del departament competent en matèria de recercaDirector de la Fundació Institució dels Centres de Recerca de Catalunya;Fundació Institut d’Investigació Biomèdica de Girona Dr. Josep Trueta (IdIBGI);SLT - Departament de Salut;Membre designat per la persona titular del departament competent en matèria de recerca;Patró;Director de la Fundació Institució dels Centres de Recerca de Catalunya;#N/D;18791;Conseller/a d'Empresa i Coneixement;#N/D;Lluís Rovira Pato;
Agència Catalana del Patrimoni CulturalVocals en representació de diversos departaments de la GeneralitatDirectora de Serveis del Departament de Cultura;Agència Catalana del Patrimoni Cultural;CLT - Departament de Cultura;Vocals en representació de diversos departaments de la Generalitat;Membre;Directora de Serveis del Departament de Cultura;#N/D;11475;Conseller/a de Cultura;#N/D;Isabel Balliu Badia;
Fundació Centre de Recerca en Agrotecnologia, AGROTECNIOLa persona titular del dept de la Generalitat competent en matèria d'agricultura i alimentació, a quConseller d'Agricultura ,Ramaderia, Pesca i Alimentació;Fundació Centre de Recerca en Agrotecnologia, AGROTECNIO;ARP - Departament d'Agricultura, Ramaderia, Pesca i Alimentació;La persona titular del dept de la Generalitat competent en matèria d'agricultura i alimentació, a qu;Vicepresident/a;Conseller d'Agricultura ,Ramaderia, Pesca i Alimentació;#N/D;4163;Govern de la Generalitat de Catalunya;#N/D;Oscar Ordeig Molist;
Oficina de Suport a la Iniciativa CulturalPersona titular de la Direcció de ServeisDirectora de Serveis del Departament de Cultura;Oficina de Suport a la Iniciativa Cultural;CLT - Departament de Cultura;Persona titular de la Direcció de Serveis;Vocal;Directora de Serveis del Departament de Cultura;#N/D;11475;;#N/D;Isabel Balliu Badia;
Consorci del Museu de Lleida, Diocesà i ComarcalPersones representants de la Generalitat,designades pel/per la titular del dep. competent en culturaDirector del Museu Nacional d'Art de Catalunya;Consorci del Museu de Lleida, Diocesà i Comarcal;CLT - Departament de Cultura;Persones representants de la Generalitat,designades pel/per la titular del dep. competent en cultura;Vocal;Director del Museu Nacional d'Art de Catalunya;#N/D;2404;Conseller/a de Cultura;director del Museu Nacional d'Art de Catalunya;Josep Serra Vilalba;
Servei Públic d'Ocupació de CatalunyaEl/la director/a del SOC, nomenat/da pel Govern, proposat/da pel conseller/a en matèria d’ocupacióDirector del Servei Públic d'Ocupació de Catalunya;Servei Públic d'Ocupació de Catalunya;EMT - Departament d'Empresa i Treball;El/la director/a del SOC, nomenat/da pel Govern, proposat/da pel conseller/a en matèria d’ocupació;Vocal;Director del Servei Públic d'Ocupació de Catalunya;#N/D;4925;;#N/D;Juan José Torres López;
Agència per a la Qualitat del Sistema Universitari de CatalunyaEl director/ la directora de l’AgènciaDirectora d'AQU Catalunya;Agència per a la Qualitat del Sistema Universitari de Catalunya;REU - Departament de Recerca i Universitats;El director/ la directora de l’Agència;Vocal;Directora d'AQU Catalunya;#N/D;18163;;#N/D;Mercè Gisbert Cervera;
Consorci per a la Protecció i la Gestió dels Espais Naturals del Delta del LlobregatRepresentant de la Generalitat de CatalunyaDirectora dels Serveis Territorials de Territori i Sostenibilitat a Barcelona;Consorci per a la Protecció i la Gestió dels Espais Naturals del Delta del Llobregat;TER - Departament de Territori, Habitatge i Transició Ecològica;Representant de la Generalitat de Catalunya;Vocal;Directora dels Serveis Territorials de Territori i Sostenibilitat a Barcelona;#N/D;9632;Conseller/a en matèria de medi natural;#N/D;Maria Mercè Santmartí Miró;
Fundació d'Economia AnalíticaGeneralitat de CatalunyaDirectora general d'Anàlisi i Prospectiva Econòmica;Fundació d'Economia Analítica;REU - Departament de Recerca i Universitats;Generalitat de Catalunya;Vocal;Directora general d'Anàlisi i Prospectiva Econòmica;#N/D;19793;;#N/D;Marta Curto Grau;
Fundació per a la Universitat Oberta de CatalunyaPatró designat pel Govern de la Generalitat de CatalunyaDirectora general de Societat Digital de la Generalitat de Catalunya;Fundació per a la Universitat Oberta de Catalunya;REU - Departament de Recerca i Universitats;Patró designat pel Govern de la Generalitat de Catalunya;Patró;Directora general de Societat Digital de la Generalitat de Catalunya;#N/D;19934;;#N/D;Liliana Arroyo Moliner;
Consorci per a la Protecció i la Gestió dels Espais Naturals del Delta del LlobregatRepresentant de la Generalitat de CatalunyaDirectora general de Boscos i Gestió del Medi;Consorci per a la Protecció i la Gestió dels Espais Naturals del Delta del Llobregat;TER - Departament de Territori, Habitatge i Transició Ecològica;Representant de la Generalitat de Catalunya;Vocal;Directora general de Boscos i Gestió del Medi;#N/D;12985;Conseller/a d'd'Agricultura, Ramaderia, Pesca i Alimentació;#N/D;Sandra Torras Noguer;
Fundació Institució dels Centres de Recerca de Catalunya (Fundació I-CERCA)Patró designat pel titular del departament de la Generalitat competent en matèria de recercaDirectora general de Transferència i Societat del Coneixement;Fundació Institució dels Centres de Recerca de Catalunya (Fundació I-CERCA);REU - Departament de Recerca i Universitats;Patró designat pel titular del departament de la Generalitat competent en matèria de recerca;Vocal;Directora general de Transferència i Societat del Coneixement;#N/D;21650;;#N/D;Laia Arnal Arasa;
Fundació Institut de Recerca en Energia de Catalunya (IREC)El director general d'Energia, Seguretat Industrial i Seguretat Minera Generalitat de CatalunyaDirectora general d'Energia;Fundació Institut de Recerca en Energia de Catalunya (IREC);TER - Departament de Territori, Habitatge i Transició Ecològica;El director general d'Energia, Seguretat Industrial i Seguretat Minera Generalitat de Catalunya;Patró;Directora general d'Energia;#N/D;21709;;directora general d'Energia;Assumpta Farran Poca;
Fundació Universitària BalmesPersones representants de l'Administració de la Generalitat de CatalunyaDirectora general d'Universitats;Fundació Universitària Balmes;REU - Departament de Recerca i Universitats;Persones representants de l'Administració de la Generalitat de Catalunya;Patró;Directora general d'Universitats;#N/D;131;;#N/D;M. Victòria Girona Brumós;
Fundació Catalana per a l'Ensenyament de l'Idioma Anglès i l'Educació en AnglèsLa persona titular de la DG Generalitat competent en matèria de centres educatius universitarisDirectora general d'Universitats;Fundació Catalana per a l'Ensenyament de l'Idioma Anglès i l'Educació en Anglès;ECF - Departament d'Economia i Finances;La persona titular de la DG Generalitat competent en matèria de centres educatius universitaris;Membre;Directora general d'Universitats;#N/D;131;;#N/D;M. Victòria Girona Brumós;És del departament de REU
Fundació Sitges, Festival Internacional de Cinema de CatalunyaEl/la director/a de l’Institut Català de les Empreses Culturals, que ostenta la Vicepresidència delEl/la director/a de l’Institut Català de les Empreses Culturals;Fundació Sitges, Festival Internacional de Cinema de Catalunya;CLT - Departament de Cultura;El/la director/a de l’Institut Català de les Empreses Culturals, que ostenta la Vicepresidència del;Patró;El/la director/a de l’Institut Català de les Empreses Culturals;#N/D;11723;;#N/D;Edgar García Casellas;
Fundació Sitges, Festival Internacional de Cinema de CatalunyaEl/la gerent de l’Institut Català de les Empreses CulturalsEl/la gerent de l’Institut Català de les Empreses Culturals;Fundació Sitges, Festival Internacional de Cinema de Catalunya;CLT - Departament de Cultura;El/la gerent de l’Institut Català de les Empreses Culturals;Patró;El/la gerent de l’Institut Català de les Empreses Culturals;#N/D;12785;;#N/D;Judith Sans Nadal;
Consorci Catalunya InternacionalVocal nomenat pel titular del dept compet en mat acció ext, a prop del tit dept compet culturaSecretari general del Departament de Cultura;Consorci Catalunya Internacional;UEX - Departament d'Unió Europea i Acció Exterior;Vocal nomenat pel titular del dept compet en mat acció ext, a prop del tit dept compet cultura;Vocal;Secretari general del Departament de Cultura;#N/D;2228;Conseller d’Unió Europea i Acció Exterior;#N/D;Josep Oriol Escardíbul Ferrà;No coincideix el càrrec informat amb la definició del membre
Fundació Gala - Salvador DalíDepartament de CulturaSecretari general del Departament de Cultura;Fundació Gala - Salvador Dalí;CLT - Departament de Cultura;Departament de Cultura;Vocal;Secretari general del Departament de Cultura;#N/D;2228;Consellera de Cultura;#N/D;Mª Dolors Portús Vinyeta;
Fundació Privada Pere Coromines, d'Estudis Filosòfics, Històrics, Literaris i d'Investigació LingüísticaConseller/a de Cultura o persona en la qual deleguiSecretari general del Departament de Cultura (p.d.);Fundació Privada Pere Coromines, d'Estudis Filosòfics, Històrics, Literaris i d'Investigació Lingüística;CLT - Departament de Cultura;Conseller/a de Cultura o persona en la qual delegui;Vocal;Secretari general del Departament de Cultura (p.d.);#N/D;2228;Conseller/a de Cultura;#N/D;Jordi Foz Dalmau;
Fundació per a la Universitat Oberta de CatalunyaPatró designat pel Govern de la Generalitat de CatalunyaSecretari general del Departament de Recerca i Universitats;Fundació per a la Universitat Oberta de Catalunya;REU - Departament de Recerca i Universitats;Patró designat pel Govern de la Generalitat de Catalunya;Patró;Secretari general del Departament de Recerca i Universitats;#N/D;15728;Govern de la Generalitat de Catalunya;#N/D;Joaquim Nin Borredà;
Fundació Institut Català de Paleontologia Miquel Crusafont (ICP Miquel Crusafont)Patró nomenat pel titular del Departament de la Generalitat competent en matèria de recercaSecretari general del Departament de Recerca i Universitats;Fundació Institut Català de Paleontologia Miquel Crusafont (ICP Miquel Crusafont);REU - Departament de Recerca i Universitats;Patró nomenat pel titular del Departament de la Generalitat competent en matèria de recerca;Patró;Secretari general del Departament de Recerca i Universitats;#N/D;15728;Conseller/a de Recerca i Universitats;#N/D;Joaquim Nin Borredà;
Fundació Institució Catalana de Recerca i Estudis Avançats (ICREA)Vocal nomenat per la persona titular del departament competent en recerca i universitatsSecretari general del Departament de Recerca i Universitats;Fundació Institució Catalana de Recerca i Estudis Avançats (ICREA);REU - Departament de Recerca i Universitats;Vocal nomenat per la persona titular del departament competent en recerca i universitats;Vocal;Secretari general del Departament de Recerca i Universitats;#N/D;15728;Conseller/a de Recerca i Universitats;#N/D;Joaquim Nin Borredà;
Institut Nacional d'Educació Física de CatalunyaEl/la gerent de l’INEFCGerent de l'INEFC;Institut Nacional d'Educació Física de Catalunya;ESP - Departament d'Esports;El/la gerent de l’INEFC;Vocal;Gerent de l'INEFC;#N/D;2619;;#N/D;Josep Vilà Campanya;
Fundació DRISSAEl president de l'Institut d'Assistència Sanitària, que pot delegar el càrrec de patróGerent de l'Institut d'Assistència Sanitària;Fundació DRISSA;SLT - Departament de Salut;El president de l'Institut d'Assistència Sanitària, que pot delegar el càrrec de patró;Vicepresident/a;Gerent de l'Institut d'Assistència Sanitària;#N/D;3013;;#N/D;Joaquim Casanovas Lax;
Institut de Recerca i Tecnologia Agroalimentàries (IRTA)Vocal en representació del departament competent en matèria de mediambientDirectora general de Canvi Climàtic i Qualitat Ambiental;Institut de Recerca i Tecnologia Agroalimentàries (IRTA);ARP - Departament d'Agricultura, Ramaderia, Pesca i Alimentació;Vocal en representació del departament competent en matèria de mediambient;Vocal;Directora general de Canvi Climàtic i Qualitat Ambiental;#N/D;6315;Govern de la Generalitat de Catalunya;directora general de Canvi Climàtic i Qualitat Ambiental;Maria Sonsoles Letang Jiménez de Anta;
Servei Meteorològic de CatalunyaMembres designats pel Govern en representació de la Generalitat, amb rang mínim de director/aDirectora general de Canvi Climàtic i Qualitat Ambiental;Servei Meteorològic de Catalunya;TER - Departament de Territori, Habitatge i Transició Ecològica;Membres designats pel Govern en representació de la Generalitat, amb rang mínim de director/a;Membre;Directora general de Canvi Climàtic i Qualitat Ambiental;#N/D;6315;Govern de la Generalitat de Catalunya;directora general de Canvi Climàtic i Qualitat Ambiental;Maria Sonsoles Letang Jiménez de Anta;
Fundació Pau Casals, Fundació PrivadaLa directora general de Patrimoni Cultural del Departament de CulturaLa directora general de Patrimoni Cultural del Departament de Cultura;Fundació Pau Casals, Fundació Privada;CLT - Departament de Cultura;La directora general de Patrimoni Cultural del Departament de Cultura;Vocal;La directora general de Patrimoni Cultural del Departament de Cultura;#N/D;2284;;#N/D;Sònia Hernàndez Almodòvar;
Fundació Institut Català de Paleoecologia Humana i Evolució Social (IPHES)Vocal designat per la persona titular del departament de la Generalitat competent en recercaSecretari general del Departament de Recerca i Universitats;Fundació Institut Català de Paleoecologia Humana i Evolució Social (IPHES);REU - Departament de Recerca i Universitats;Vocal designat per la persona titular del departament de la Generalitat competent en recerca;Vocal;Secretari general del Departament de Recerca i Universitats;#N/D;15728;Conseller/a competent en matèria de recerca;#N/D;Joaquim Nin Borredà;
Autoritat del Transport Metropolità, Consorci per a la coordinació del sistema metropolità del transport públic de l'àrea de BarcelonaVocals en representació de la Generalitat de CatalunyaDirectora general de Canvi Climàtic i Qualitat Ambiental;Autoritat del Transport Metropolità, Consorci per a la coordinació del sistema metropolità del transport públic de l'àrea de Barcelona;TER - Departament de Territori, Habitatge i Transició Ecològica;Vocals en representació de la Generalitat de Catalunya;Vocal;Directora general de Canvi Climàtic i Qualitat Ambiental;#N/D;6315;Govern de la Generalitat de Catalunya;directora general de Canvi Climàtic i Qualitat Ambiental;Maria Sonsoles Letang Jiménez de Anta;
Agència de Residus de CatalunyaRepresentants de la GeneralitatSecretari de de Transició Ecològica;Agència de Residus de Catalunya;TER - Departament de Territori, Habitatge i Transició Ecològica;Representants de la Generalitat;Vocal;Secretari de de Transició Ecològica;#N/D;18120;Govern de la Generalitat de Catalunya;#N/D;Jordi Sargatal Vicencs;
Agència Catalana de l'Aigua (ACA)Representant del departament d’adscripció de l’Agència Catalana de l’AiguaTitular de la Secretaria de Transició Ecològica del Departament de Territori, Habitatge i Transició;Agència Catalana de l'Aigua (ACA);TER - Departament de Territori, Habitatge i Transició Ecològica;Representant del departament d’adscripció de l’Agència Catalana de l’Aigua;Vocal;Titular de la Secretaria de Transició Ecològica del Departament de Territori, Habitatge i Transició;#N/D;18120;Consellera de Territori, Habitatge i Transició Ecològica;#N/D;Jordi Sargatal Vicencs;
Agència de Residus de CatalunyaRepresentants de la GeneralitatDirectora general de Canvi Climàtic i Qualitat Ambiental;Agència de Residus de Catalunya;TER - Departament de Territori, Habitatge i Transició Ecològica;Representants de la Generalitat;Vocal;Directora general de Canvi Climàtic i Qualitat Ambiental;#N/D;6315;Govern de la Generalitat de Catalunya;directora general de Canvi Climàtic i Qualitat Ambiental;Maria Sonsoles Letang Jiménez de Anta;
Fundació Jove Orquestra Nacional de CatalunyaVocal designat pel titular del departament de la Generalitat competent en joventutDirectora general de Joventut;Fundació Jove Orquestra Nacional de Catalunya;EDF - Departament d'Educació i Formació Professional;Vocal designat pel titular del departament de la Generalitat competent en joventut;Vocal;Directora general de Joventut;#N/D;13766;Conseller/a de Drets Socials;directora general de Joventut;Rut Ribas Martí;
Fundació Institut Català de Recerca en Patrimoni Cultural (ICRPC)Vocal designat per la Generalitat, nomenat pel titular del dept. competent en matèria de culturaDirectora general de la Direcció General del Patrimoni Cultural;Fundació Institut Català de Recerca en Patrimoni Cultural (ICRPC);REU - Departament de Recerca i Universitats;Vocal designat per la Generalitat, nomenat pel titular del dept. competent en matèria de cultura;Vocal;Directora general de la Direcció General del Patrimoni Cultural;#N/D;2284;Conseller/a de Cultura;#N/D;Sònia Hernàndez Almodòvar;
Consorci Patronat de la Vall de NúriaRepresentant del departament de la Generalitat competent en matèria d'agricultura, ramaderia i pescaDirectora dels Serveis Territorials d'Acció Climàtica, Alimentació i Agenda Rural a Girona;Consorci Patronat de la Vall de Núria;TER - Departament de Territori, Habitatge i Transició Ecològica;Representant del departament de la Generalitat competent en matèria d'agricultura, ramaderia i pesca;Membre;Directora dels Serveis Territorials d'Acció Climàtica, Alimentació i Agenda Rural a Girona;#N/D;4246;Govern de la Generalitat de Catalunya;#N/D;Elisabet Sánchez Sala;
Consorci Patronat de la Vall de NúriaRepresentant del departament de la Generalitat competent en matèria de culturaDirector dels Serveis Territorials del Departament de Cultura a Girona;Consorci Patronat de la Vall de Núria;TER - Departament de Territori, Habitatge i Transició Ecològica;Representant del departament de la Generalitat competent en matèria de cultura;Membre;Director dels Serveis Territorials del Departament de Cultura a Girona;#N/D;2267;Govern de la Generalitat de Catalunya;#N/D;Josep Calatayud Cuenca;
Fundació per a la Universitat Oberta de CatalunyaPatró designat pel Govern de la Generalitat de CatalunyaConseller de Recerca i Universitats;Fundació per a la Universitat Oberta de Catalunya;REU - Departament de Recerca i Universitats;Patró designat pel Govern de la Generalitat de Catalunya;Patró;Conseller de Recerca i Universitats;#N/D;21648;Govern de la Generalitat de Catalunya;#N/D;Joaquim Nadal Farreras;
Fundació Barcelona Mobile World Capital FoundationAdministració de la Generalitat de CatalunyaConseller d'Educació;Fundació Barcelona Mobile World Capital Foundation;EMT - Departament d'Empresa i Treball;Administració de la Generalitat de Catalunya;Membre;Conseller d'Educació;#N/D;1599;Govern de la Generalitat de Catalunya;#N/D;Josep Gonzàlez Cambray;
Consorci del Centre de Terminologia TermcatPersona en representació del CNL, designada pel/per la president/a d'aquesta institucióGerent del Consorci per a la Normalització Lingüística;Consorci del Centre de Terminologia Termcat;PLG - Departament de Política Lingüística;Persona en representació del CNL, designada pel/per la president/a d'aquesta institució;Vocal;Gerent del Consorci per a la Normalització Lingüística;#N/D;2739;President/a del Consorci per a la Normalització Lingüística;#N/D;Josep Madorell Bonora;
Fundació Institut Ramon Muntaner. Fundació Privada dels Centres d'Estudis de Parla CatalanaPatrons en representació de la Generalitat designats pel Departament de CulturaDirectora general de Patrimoni Cultural;Fundació Institut Ramon Muntaner. Fundació Privada dels Centres d'Estudis de Parla Catalana;CLT - Departament de Cultura;Patrons en representació de la Generalitat designats pel Departament de Cultura;Vocal;Directora general de Patrimoni Cultural;#N/D;2284;Conseller/a de Cultura;#N/D;Sònia Hernàndez Almodòvar;
Fundació Alicia, Alimentació i Ciència, Fundació PrivadaAdministració de la Generalitat de CatalunyaSecretari general del Departament de Recerca i Universitats;Fundació Alicia, Alimentació i Ciència, Fundació Privada;ARP - Departament d'Agricultura, Ramaderia, Pesca i Alimentació;Administració de la Generalitat de Catalunya;Vocal;Secretari general del Departament de Recerca i Universitats;#N/D;15728;Govern de la Generalitat de Catalunya;#N/D;Joaquim Nin Borredà;
Fundació Institut de Bioenginyeria de Catalunya (IBEC)Vocals nomenats pel/la titular del Departament competent en matèria de recercaSecretari general del Departament de Recerca i Universitats;Fundació Institut de Bioenginyeria de Catalunya (IBEC);REU - Departament de Recerca i Universitats;Vocals nomenats pel/la titular del Departament competent en matèria de recerca;Vocal;Secretari general del Departament de Recerca i Universitats;#N/D;15728;Conseller/a del Departament de Recerca i Universitats;#N/D;Joaquim Nin Borredà;
Institut Català del Sòl (INCASÒL)Representants de la Generalitat que assenyali el GovernSecretari general del Departament de Recerca i Universitats;Institut Català del Sòl (INCASÒL);TER - Departament de Territori, Habitatge i Transició Ecològica;Representants de la Generalitat que assenyali el Govern;Vocal;Secretari general del Departament de Recerca i Universitats;#N/D;15728;Govern de la Generalitat de Catalunya;#N/D;Josep Oriol Escardíbul Ferrà;
Consorci de Serveis Universitaris de Catalunya (CSUC)Membre nomenat pel conseller/a del departament competent en matèria d'universitatsSecretari general del Departament de Recerca i Universitats;Consorci de Serveis Universitaris de Catalunya (CSUC);REU - Departament de Recerca i Universitats;Membre nomenat pel conseller/a del departament competent en matèria d'universitats;Vicepresident/a;Secretari general del Departament de Recerca i Universitats;#N/D;15728;Conseller d'Empresa i Coneixement;#N/D;Josep Oriol Escardíbul Ferrà;
Agència de Gestió d'Ajuts Universitaris i de Recerca (AGAUR)Fins a un màxim de cinc vocals designats pel conseller/a del departament competent en universitatsSecretari general del Departament de Recerca i Universitats;Agència de Gestió d'Ajuts Universitaris i de Recerca (AGAUR);REU - Departament de Recerca i Universitats;Fins a un màxim de cinc vocals designats pel conseller/a del departament competent en universitats;Vocal;Secretari general del Departament de Recerca i Universitats;#N/D;15728;Govern de la Generalitat de Cataluya;#N/D;Josep Oriol Escardíbul Ferrà;
Consorci de l'Institut Ramon LlullRepresentants de l'Administració de la Generalitat de Catalunya designats pel GovernSecretari General del Departament de Recerca i Universitats;Consorci de l'Institut Ramon Llull;CLT - Departament de Cultura;Representants de l'Administració de la Generalitat de Catalunya designats pel Govern;Vocal;Secretari General del Departament de Recerca i Universitats;#N/D;15728;Govern de la Generalitat de Catalunya;#N/D;Josep Oriol Escardíbul Ferrà;
Institut per al Desenvolupament de les Comarques de l'Ebre (IDECE)Representants determinats pel Govern en representació de la GeneralitatDelegat territorial del Govern de la Generalitat a les Terres de l'Ebre;Institut per al Desenvolupament de les Comarques de l'Ebre (IDECE);EMT - Departament d'Empresa i Treball;Representants determinats pel Govern en representació de la Generalitat;Vocal;Delegat territorial del Govern de la Generalitat a les Terres de l'Ebre;#N/D;11898;Govern de la Generalitat de Catalunya;#N/D;Juan Castor Gonell Agramunt;
Fundació Fira de GironaDepartament d'Empresa i TreballDelegada Territorial del Govern de la Generalitat a Girona;Fundació Fira de Girona;EMT - Departament d'Empresa i Treball;Departament d'Empresa i Treball;Patró;Delegada Territorial del Govern de la Generalitat a Girona;#N/D;674;Conseller d'Empresa i Treball;#N/D;Laia Cañigueral Olivé;
Fundació per a la Universitat Oberta de CatalunyaPatró designat pel Govern de la Generalitat de CatalunyaConseller del Departament d'Educació;Fundació per a la Universitat Oberta de Catalunya;REU - Departament de Recerca i Universitats;Patró designat pel Govern de la Generalitat de Catalunya;Patró;Conseller del Departament d'Educació;#N/D;1599;Govern de la Generalitat de Catalunya;#N/D;Josep Gonzàlez Cambray;
Consorci del Transport Públic del Camp de Tarragona, Autoritat Territorial de la MobilitatVocal en representació de la Generalitat a proposta de VPDResponsable d'Estudi i Anàlisi Jurídica de Territori i Sostenibilitat;Consorci del Transport Públic del Camp de Tarragona, Autoritat Territorial de la Mobilitat;TER - Departament de Territori, Habitatge i Transició Ecològica;Vocal en representació de la Generalitat a proposta de VPD;Vocal;Responsable d'Estudi i Anàlisi Jurídica de Territori i Sostenibilitat;#N/D;19093;Conseller/a de Territori i Sostenibilitat;#N/D;Lluis Angosto Poza;
Consorci Port de MataróVocals designats per la persona titular del departament competent en matèria de portsDirectora general de Transports i Mobilitat;Consorci Port de Mataró;TER - Departament de Territori, Habitatge i Transició Ecològica;Vocals designats per la persona titular del departament competent en matèria de ports;Vocal;Directora general de Transports i Mobilitat;#N/D;3520;Conseller/a del Departament de Territori i Sostenibilitat;directora general de Transports i Mobilitat;Mercè Rius Serra;
Consorci Estany d'Ivars i Vila-sanaRepresentant del Departament de Territori i SostenibilitatDirectora dels Serveis Territorials de DTES a Lleida;Consorci Estany d'Ivars i Vila-sana;TER - Departament de Territori, Habitatge i Transició Ecològica;Representant del Departament de Territori i Sostenibilitat;Vocal;Directora dels Serveis Territorials de DTES a Lleida;#N/D;15361;Conseller DTES;#N/D;Josefina Teres Cinca;
Consorci Administració Oberta de CatalunyaMembre designat pel Govern de la Generalitat, amb rang de secretari o director generalDirectora de Serveis del Departament de d'Economia i Hisenda;Consorci Administració Oberta de Catalunya;PRE - Departament de la Presidència;Membre designat pel Govern de la Generalitat, amb rang de secretari o director general;Membre;Directora de Serveis del Departament de d'Economia i Hisenda;#N/D;1116;Vicepresident del Govern;#N/D;M. Carme Alcaraz Molina;
Ferrocarrils de la Generalitat de CatalunyaUn representant del departament competent en matèria d'economia i financesDirectora de Serveis Departament d'Economia i Hisenda;Ferrocarrils de la Generalitat de Catalunya;TER - Departament de Territori, Habitatge i Transició Ecològica;Un representant del departament competent en matèria d'economia i finances;Conseller/a;Directora de Serveis Departament d'Economia i Hisenda;#N/D;1116;Govern de la Generalitat de Catalunya;#N/D;M. Carme Alcaraz Molina;
Fundació per a la Universitat Oberta de CatalunyaPatró designat pel Govern de la Generalitat de CatalunyaDirectora general d'Universitats del Departament de Recerca i Universitats.;Fundació per a la Universitat Oberta de Catalunya;REU - Departament de Recerca i Universitats;Patró designat pel Govern de la Generalitat de Catalunya;Patró;Directora general d'Universitats del Departament de Recerca i Universitats.;#N/D;131;Govern de la Generalitat de Catalunya;#N/D;M. Victòria Girona Brumós;
Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de CatalunyaRepresentants de I'Administració de Ia Generalitat de CatalunyaSecretari general del Departament de Recerca i Universitats;Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de Catalunya;PRE - Departament de la Presidència;Representants de I'Administració de Ia Generalitat de Catalunya;Vocal;Secretari general del Departament de Recerca i Universitats;#N/D;15728;Govern de la Generalitat de Catalunya;#N/D;Josep Oriol Escardíbul Ferrà;
Institut per al Desenvolupament i la Promoció de l'Alt Pirineu i AranDirector/a, que actua com a secretari/ària, amb veu però sense votDirectora de l'IDAPA;Institut per al Desenvolupament i la Promoció de l'Alt Pirineu i Aran;TER - Departament de Territori, Habitatge i Transició Ecològica;Director/a, que actua com a secretari/ària, amb veu però sense vot;Secretari/ària sense dret a vot;Directora de l'IDAPA;#N/D;13437;Govern de la Generalitat de Catalunya;#N/D;Eva Fiter Cirera;
Consorci del Museu Memorial de l'ExiliRepresentant nom. pel Govern de la Generalitat, a proposta depart. competent en memòria democràticaDirectora dels Serveis Territorials a Girona del Departament de Justícia;Consorci del Museu Memorial de l'Exili;JUS - Departament de Justícia i Qualitat Democràtica;Representant nom. pel Govern de la Generalitat, a proposta depart. competent en memòria democràtica;Vocal;Directora dels Serveis Territorials a Girona del Departament de Justícia;#N/D;10825;;#N/D;Núria Gómez Morell;
Consorci de l'EstanyDepartament d’Acció Climàtica, Agricultura i AlimentacióSubdirector general de Biodiversitat;Consorci de l'Estany;TER - Departament de Territori, Habitatge i Transició Ecològica;Departament d’Acció Climàtica, Agricultura i Alimentació;Vocal;Subdirector general de Biodiversitat;#N/D;18273;Conseller de Territori i Sostenibilitat;#N/D;Jaume Vicens Perpinyà;
Fundació Barcelona Mobile World Capital FoundationAdministració de la Generalitat de CatalunyaConseller d'Empresa i Treball;Fundació Barcelona Mobile World Capital Foundation;EMT - Departament d'Empresa i Treball;Administració de la Generalitat de Catalunya;Membre;Conseller d'Empresa i Treball;#N/D;19775;Govern de la Generalitat de Catalunya;conseller d'Empresa i Treball;Roger Torrent Ramió;
